[2014/10/11 - 12:36:23] Te han sancionado, por 1 minuto(s). Razón: Prueba
[2014/10/19 - 12:23:38] Te han sancionado, por 1 minuto(s). Razón: PRUEBA
[2014/10/30 - 15:51:38] Te han sancionado, por 1 minuto(s). Razón: 1
[2014/10/30 - 15:52:16] Te han sancionado, por 1 minuto(s). Razón: 0
[2014/10/30 - 15:52:21] Te han sancionado, por 0 minuto(s). Razón: 0
[2016/10/9 - 0:54:14] [AdmCmd]: Jonas Jure fué sancionado por Juan Soriano, razón: MG, tiempo: 5 minuto(s)
[2016/10/9 - 1:31:31] [AdmCmd]: Emanuel Lopez fué sancionado por Bayron Wazouky, razón: DM + PG, tiempo: 20 minuto(s)
[2016/10/9 - 1:53:9] [AdmCmd]: Juan Martinez fué sancionado por Bayron Wazouky, razón: NRH .-14 De Vida-., tiempo: 5 minuto(s)
[2016/10/9 - 2:0:44] [AdmCmd]: Aaron Petterino fué sancionado por Bayron Wazouky, razón: NRH, tiempo: 5 minuto(s)
[2016/10/9 - 2:29:27] [AdmCmd]: Josbriel Rodriguez fué sancionado por Azarel Thawne, razón: PG, tiempo: 3 minuto(s)
[2016/10/9 - 2:58:7] [AdmCmd]: Angel Luis fué sancionado por Azarel Thawne, razón: PG + NRA(Saltar de un puente a un techo sin rol), tiempo:
[2016/10/9 - 3:0:35] [AdmCmd]: Josbriel Rodriguez fué sancionado por Azarel Thawne, razón: DM + PG, tiempo: 5 minuto(s)
[2016/10/9 - 3:27:43] [AdmCmd]: Josue Trejos fué sancionado por Bayron Wazouky, razón: Anti-Rol., tiempo: 10 minuto(s)
[2016/10/9 - 3:38:57] [AdmCmd]: Angel Luis fué sancionado por Bayron Wazouky, razón: RK + DM , tiempo: 15 minuto(s)
[2016/10/9 - 3:45:52] [AdmCmd]: Alejandro Sanchez fué sancionado por Bayron Wazouky, razón: Mentir al Staff + DM., tiempo: 15 minuto(s)
[2016/10/9 - 4:46:10] [AdmCmd]: Giusepe Tartani fué sancionado por Bayron Wazouky, razón: NRH, tiempo: 5 minuto(s)
[2016/10/9 - 16:16:32] [AdmCmd]: Sebastian Chiuki fué sancionado por Juan Soriano, razón: NRC, tiempo: 5 minuto(s)
[2016/10/9 - 17:8:13] [AdmCmd]: Santiago Arca fué sancionado por Joaco DeAvila, razón: BD, tiempo: 5 minuto(s)
[2016/10/9 - 17:11:28] [AdmCmd]: Zein Gutiertk fué sancionado por Juan Soriano, razón: AIOOC, tiempo: 10 minuto(s)
[2016/10/9 - 17:12:9] [AdmCmd]: Jerry Montano fué sancionado por Juan Soriano, razón: PG, tiempo: 5 minuto(s)
[2016/10/9 - 17:17:29] [AdmCmd]: Juan Martinez fué sancionado por Joaco DeAvila, razón: BD, tiempo: 5 minuto(s)
[2016/10/9 - 17:22:16] [AdmCmd]: Sebastian Chiuki fué sancionado por Joaco DeAvila, razón: NRC+BD, tiempo: 15 minuto(s)
[2016/10/9 - 19:56:30] [AdmCmd]: Juanjo Jimenez fué sancionado por Bayron Wazouky, razón: PG, tiempo: 5 minuto(s)
[2016/10/9 - 20:18:55] [AdmCmd]: Francisco Riquelme fué sancionado por Azarel Thawne, razón: PG (FBI no actúa como SAPD), tiempo: 5 minuto(s)
[2016/10/9 - 20:25:25] [AdmCmd]: Pablo Ramirez fué sancionado por Azarel Thawne, razón: MG, tiempo: 5 minuto(s)
[2016/10/9 - 21:7:33] [AdmCmd]: Nahuel Beltran fué sancionado por Bayron Wazouky, razón: Hecho., tiempo: 1 minuto(s)
[2016/10/9 - 21:9:34] [AdmCmd]: Ernesto Beltran fué sancionado por Azarel Thawne, razón: BD, tiempo: 5 minuto(s)
[2016/10/9 - 21:18:53] [AdmCmd]: Ernesto Beltran fué sancionado por Fady Saba, razón: CJ a un administrador..., tiempo: 10 minuto(s)
[2016/10/9 - 21:35:58] [AdmCmd]: Raper Klarela fué sancionado por Azarel Thawne, razón: NRA + PG, tiempo: 10 minuto(s)
[2016/10/9 - 21:36:13] [AdmCmd]: Alejandro Sanchez fué sancionado por Bayron Wazouky, razón: Mentir al Staff, tiempo: 5 minuto(s)
[2016/10/9 - 22:8:23] [AdmCmd]: Yung Beefie fué sancionado por Azarel Thawne, razón: BD, tiempo: 5 minuto(s)
[2016/10/9 - 22:18:3] [AdmCmd]: Bayron Wazouky fué sancionado por Bayron Wazouky, razón: Anti, tiempo: 1 minuto(s)
[2016/10/9 - 22:21:18] [AdmCmd]: Tito Romero fué sancionado por Azarel, razón: NRH, tiempo: 5 minuto(s)
[2016/10/9 - 22:26:7] [AdmCmd]: Manuel Melo fué sancionado por Bayron Wazouky, razón: Nre Nra , tiempo: 5 minuto(s)
[2016/10/9 - 22:28:12] [AdmCmd]: Haziel Verraco fué sancionado por Bayron Wazouky, razón: MG [EXTREMO] CK , tiempo: 15 minuto(s)
[2016/10/9 - 22:45:23] [AdmCmd]: Jonas Jure fué sancionado por Bayron Wazouky, razón: PG + DM [Disparar Via Publica], tiempo: 10 minuto(s)
[2016/10/10 - 0:11:42] [AdmCmd]: Nahuel Beltran fué sancionado por Bayron Wazouky, razón: NRH, tiempo: 5 minuto(s)
[2016/10/10 - 3:11:40] [AdmCmd]: Klarita Guantebas fué sancionado por Bayron Wazouky, razón: DM, tiempo: 5 minuto(s)
